ID,Name,Cuisine,Delivery_rating,Dining_rating,Overall_rating,Area,Offer,Votes,Featured
18261013,Kaffee - Mast Hai,"Coffee, Pasta, Burger, Wraps, Pizza, Desserts, Beverages",3.8,4.3,4.1,"Shree Balaji Agora Mall, Chandkheda, Ahmedabad",Pro - Get 20% off,"1,493",NO
18438919,The Dark Roast,"Cafe, Fast Food, Beverages",3.9,4.1,4.0,"Prahlad Nagar, Ahmedabad",,"1,041",NO
19944859,The Kurtosshhh Lounge,"Continental, Fast Food, Cafe, Mediterranean, Shake, Beverages, Bakery",3.6,3.7,3.7,"C G Road, Ahmedabad",,144,NO
112951,Shambhu's Coffee Bar,"Fast Food, North Indian, South Indian, Chinese, Coffee, Sandwich, Desserts, Beverages",3.8,3.2,3.5,"Isanpur, Ahmedabad",,"4,414",NO
19811136,Fyro,"Cafe, Fast Food, Italian, Beverages",3.9,3.6,3.8,"Bopal, Ahmedabad",,65,NO
112291,Soul Square,"Cafe, Italian, Mexican, Continental, Beverages",3.8,4.1,4.0,"Bodakdev, Ahmedabad",Pro - Get 20% off,"1,844",NO
19625810,Fozzie's Pizzaiolo,"Pizza, Pasta, Fast Food, Desserts, Beverages, Continental, Mexican",3.7,4.1,3.9,"Navrangpura, Ahmedabad",Pro - Get 20% off,968,NO
18627705,I Love Sandwich House,"Cafe, Fast Food, Tea, Beverages, Sandwich",4.0,4.1,4.1,"Bodakdev, Ahmedabad",,"2,957",NO
20187100,Independence Brewing Company,"European, Continental",Newly Opened,Newly Opened,3.7,"Kalyani Nagar, Pune",,18,Featured
19960155,Tito's,"Continental, Bar Food, Finger Food",,3.9,3.9,"Pimple Gurav, Pune",Pro - Get 35% off,157,Featured
20005221,The Chickster,"Burger, Wraps, American, Fast Food, Beverages, Desserts",3.9,3.9,3.9,"Koregaon Park, Pune",,213,NO
18865138,Annapurna Tarangan,Maharashtrian,4.1,3.7,3.9,"Parvati, Pune",,"3,335",NO
19370623,Chitale's Ice Cream,"Desserts, Beverages, Ice Cream, Shake",4.4,2.7,3.6,"Sadashiv Peth, Pune",,577,NO
19271250,Thikana - The Lake View,"Bar Food, North Indian, Fast Food, Italian, Street Food, Desserts",,4.1,4.1,"Bhugaon, Pune",Pro - Get 20% off,212,NO
18869156,Vishal Chocolate Toast & Sandwich,"Fast Food, Desserts, Sandwich, Pizza",3.9,3.7,3.8,"Bibvewadi, Pune",,"7,797",NO
6503141,Flavours Street,"Sandwich, Fast Food, Beverages, Shake",4.2,4.3,4.3,"FC Road, Pune",,"6,415",NO
20168455,The LCR Gymkhana,"Continental, Oriental, North Indian",Newly Opened,Newly Opened,3.9,"Law College Road, Pune",,48,NO
